,log_file,log_id,meg_file,subject,task
22,sourcedata/meg_task/V1026-3-MEG-MOUS-Vis.log,3,sub-V1026/meg/sub-V1026_task-visual_meg.ds,1026,visual
23,sourcedata/meg_task/V1027-3-MEG-MOUS-Vis.log,3,sub-V1027/meg/sub-V1027_task-visual_meg.ds,1027,visual
24,sourcedata/meg_task/V1028-4-MEG-MOUS-Vis.log,4,sub-V1028/meg/sub-V1028_task-visual_meg.ds,1028,visual
25,sourcedata/meg_task/V1029-5-MEG-MOUS-Vis.log,5,sub-V1029/meg/sub-V1029_task-visual_meg.ds,1029,visual
26,sourcedata/meg_task/V1030-6-MEG-MOUS-Vis.log,6,sub-V1030/meg/sub-V1030_task-visual_meg.ds,1030,visual
27,sourcedata/meg_task/V1031-1-MEG-MOUS-Vis.log,1,sub-V1031/meg/sub-V1031_task-visual_meg.ds,1031,visual
28,sourcedata/meg_task/V1032-2-MEG-MOUS-Vis.log,2,sub-V1032/meg/sub-V1032_task-visual_meg.ds,1032,visual
29,sourcedata/meg_task/V1033-3-MEG-MOUS-Vis.log,3,sub-V1033/meg/sub-V1033_task-visual_meg.ds,1033,visual
30,sourcedata/meg_task/V1034-6-MEG-MOUS-Vis.log,6,sub-V1034/meg/sub-V1034_task-visual_meg.ds,1034,visual
31,sourcedata/meg_task/V1035-5-MEG-MOUS-Vis.log,5,sub-V1035/meg/sub-V1035_task-visual_meg.ds,1035,visual
32,sourcedata/meg_task/V1036-6-MEG-MOUS-Vis.log,6,sub-V1036/meg/sub-V1036_task-visual_meg.ds,1036,visual
33,sourcedata/meg_task/V1037-3-MEG-MOUS-Vis.log,3,sub-V1037/meg/sub-V1037_task-visual_meg.ds,1037,visual
34,sourcedata/meg_task/V1038-2-MEG-MOUS-Vis.log,2,sub-V1038/meg/sub-V1038_task-visual_meg.ds,1038,visual
35,sourcedata/meg_task/V1039-3-MEG-MOUS-Vis.log,3,sub-V1039/meg/sub-V1039_task-visual_meg.ds,1039,visual
36,sourcedata/meg_task/V1040-4-MEG-MOUS-Vis.log,4,sub-V1040/meg/sub-V1040_task-visual_meg.ds,1040,visual
37,sourcedata/meg_task/V1042-6-MEG-MOUS-Vis.log,6,sub-V1042/meg/sub-V1042_task-visual_meg.ds,1042,visual
38,sourcedata/meg_task/V1044-2-MEG-MOUS-Vis.log,2,sub-V1044/meg/sub-V1044_task-visual_meg.ds,1044,visual
39,sourcedata/meg_task/V1045-3-MEG-MOUS-Vis.log,3,sub-V1045/meg/sub-V1045_task-visual_meg.ds,1045,visual
